No.,Glass ID,Batch composition (wt%),Batch composition (wt%),Batch composition (wt%),Batch composition (wt%),Batch composition (wt%),Batch composition (wt%),Batch composition (wt%),Batch composition (wt%),O/P  molar ratio
No.,Glass ID,P2O5,Na2O,Fe2O3,Al2O3,Nd2O3,Bi2O3,CeO2,CaF2,O/P  molar ratio
,TFB waste,14.9,54.6,8.3,1.3,6.2,6.7,4.4,-,-
1,TFB5.6-40,57.5,3.0,38.2,0.1,0.3,0.4,0.3,-,3.46
2,TFB10-40,55.5,5.5,36.8,0.1,0.6,0.7,0.4,-,3.53
3,TFB20-40,51.0,10.9,33.7,0.3,1.2,1.3,0.9,-,3.69
4,TFB20-25,63.0,10.9,21.7,0.3,1.2,1.3,0.9,-,3.21
5,TFB25-35,52.5,13.7,28.3,0.3,1.6,1.7,1.1,-,3.60
6,TFB25-30,56.2,13.7,24.6,0.3,1.6,1.7,1.1,-,3.44
7,TFB30-40,46.5,16.4,30.5,0.4,1.9,2.0,1.3,-,3.89
8,TFB30-35,50.0,16.4,27.0,0.4,1.9,2.0,1.3,-,3.70
9,TFB30-30,53.5,16.4,23.5,0.4,1.9,2.0,1.3,-,3.53
10,TFB34.6-40,44.4,18.9,29.0,0.5,2.2,2.3,1.5,-,3.99
11,TFB35-35,47.5,19.1,25.7,0.5,2.2,2.4,1.5,-,3.81
12,TFB35-30,50.7,19.1,22.4,0.5,2.2,2.4,1.5,-,3.64
13,TFB35-25,54.0,19.1,19.2,0.5,2.2,2.4,1.5,-,3.49
14,TFB40-40,42.0,21.8,27.3,0.5,2.5,2.7,1.8,-,4.13
15,TFB40-30,48.0,21.8,21.3,0.5,2.5,2.7,1.8,-,3.76
16,TFB50-40,37.5,27.3,24.2,0.7,3.1,3.4,2.2,-,4.43
17,TFB25-35F10,47.6,13.7,25.7,0.3,1.6,1.7,1.1,7.5,-
18,TFB30-30F10,48.6,16.4,21.4,0.4,1.9,2.0,1.3,7.0,-
19,TFB30-35F10,45.4,16.4,24.5,0.4,1.9,2.0,1.3,7.0,-
24,TFB35-40F5,42.3,19.1,27.6,0.5,2.2,2.4,1.5,3.3,-
25,TFB35-40F10,40.3,19.1,26.3,0.5,2.2,2.4,1.5,6.5,-
27,TFB35-30F10,46.2,19.1,20.5,0.5,2.2,2.4,1.5,6.5,-
