T (degC),t (s),log[k p/(cm2/s)],log[D ns/(cm2/s)],log[D bu/(cm2/s)]
650,34150,-11.47+-0.04,-12.34+-0.05,-9.58+-0.01
,56240,-11.47+-0.02,-12.43+-0.03,-9.54+-0.01
,60810,-11.41+-0.02,-12.28+-0.01,-9.56+-0.01
,82300,-11.45+-0.06,-12.27+-0.07,-9.54+-0.02
,183960,-11.39+-0.02,-12.44+-0.02,-9.58+-0.01
,,,,
700,17310,-10.83+-0.03,-11.72+-0.03,-9.11+-0.01
,24270,-10.79+-0.04,-11.70+-0.04,-9.08+-0.02
,93650,-10.77+-0.06,-11.73+-0.10,-9.15+-0.04
,,,,
750,12870,-10.25+-0.03,-11.03+-0.03,-8.69+-0.01
,30100,-10.32+-0.04,-10.97+-0.05,-8.69+-0.01
,,,,
800,6640,-10.05+-0.03,-10.32+-0.08,-8.16+-0.05
,12210,-9.79+-0.02,-10.46+-0.03,-8.28+-0.02
,15980,-9.96+-0.11,-10.44+-0.14,-8.30+-0.03
,21730,-9.86+-0.08,-10.53+-0.07,-8.40+-0.04
