Code,Tg +-1degC,Tx +-1degC,Tx -Tg degC,ax106 +-0.1degC,n@1553nm+-0.01,NA,Glass forming,Vickers hardness+-2HV
Core (TZN),303,417,114,19.08,1.9914,/,Good,364
TZNB,310,431,121,19.9,1.9559,0.37,Good,377
TZNB1,304,451,147,19.45,1.9601,0.35,Good,389
TZNB2,310,431,121,19.9,1.9570,0.37,Good,386
TZNB3,309,459,150,20.2,1.9502,0.40,Good,412
TZNB4,314,463,149,21.0,1.9489,0.41,Good,420
TZKGe,266,/,,/,/,/,Ceramic,
TZKGeSi1,309,511,202,18.02,1.9439,0.48,Good,434
Cladding TZKGeSi2,316,527,211,19.9,1.7761,0.9,Good,458
TZNKGeSi1,/,/,,/,/,/,Hygroscopic,
TZNKGeSi2,284,349,65,/,/,/,Hygroscopic,
TZNKGeSi3,285,410,125,/,/,/,Hygroscopic,
TZNKGe1,243,336,93,/,/,/,Hygroscopic,
TZNKGe2,266,395,129,/,/,/,Hygroscopic,
TNb,367,548,181,13.54,1.9521,0.38,Good,453
TZNNb,323,476,153,14.96,1.9612,0.47,Good,438
TZNNbLa1,337,529,192,15.34,1.9722,0.51,Good,420
TZNNbLa2,335,525,190,15.24,1.9789,0.52,Good,400
